statistic_label,year,county,unit,value,region
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Kilkenny/Carlow,Euro Million,459.01,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Cavan/Monaghan,Euro Million,503.47,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Clare,Euro Million,960.57,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Cork,Euro Million,4713.42,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Donegal,Euro Million,897.85,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Dublin,Euro Million,14066.51,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Galway,Euro Million,2062.4,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Kerry,Euro Million,1025.95,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Kildare,Euro Million,2301.42,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Kilkenny/Carlow,Euro Million,700.19,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Laois/Offaly,Euro Million,620.87,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Sligo/Leitrim,Euro Million,226.93,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Limerick,Euro Million,1731.55,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Roscommon/Longford,Euro Million,299.88,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Louth,Euro Million,1146.37,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Mayo,Euro Million,894.92,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Meath,Euro Million,1845.92,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Cavan/Monaghan,Euro Million,420.5,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Laois/Offaly,Euro Million,607.76,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Roscommon/Longford,Euro Million,441.62,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Sligo/Leitrim,Euro Million,497.35,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Tipperary,Euro Million,1264.74,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Waterford,Euro Million,1002.23,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Westmeath,Euro Million,793.32,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Wexford,Euro Million,1076.58,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2000,Wicklow,Euro Million,1462.01,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Kilkenny/Carlow,Euro Million,510.84,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Cavan/Monaghan,Euro Million,559.16,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Clare,Euro Million,1075.32,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Cork,Euro Million,5263.66,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Donegal,Euro Million,1011.9,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Dublin,Euro Million,15732.93,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Galway,Euro Million,2290.83,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Kerry,Euro Million,1147.06,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Kildare,Euro Million,2550.99,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Kilkenny/Carlow,Euro Million,782.5,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Laois/Offaly,Euro Million,692.87,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Sligo/Leitrim,Euro Million,257.49,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Limerick,Euro Million,1934.31,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Roscommon/Longford,Euro Million,333.34,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Louth,Euro Million,1269.19,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Mayo,Euro Million,989.1,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Meath,Euro Million,2047.16,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Cavan/Monaghan,Euro Million,466.52,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Laois/Offaly,Euro Million,678.18,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Roscommon/Longford,Euro Million,492.24,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Sligo/Leitrim,Euro Million,565.12,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Tipperary,Euro Million,1403.66,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Waterford,Euro Million,1114.9,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Westmeath,Euro Million,885.96,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Wexford,Euro Million,1197.38,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2001,Wicklow,Euro Million,1629.23,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Kilkenny/Carlow,Euro Million,543.63,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Cavan/Monaghan,Euro Million,591.07,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Clare,Euro Million,1139.22,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Cork,Euro Million,5621.09,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Donegal,Euro Million,1085.06,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Dublin,Euro Million,16847.42,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Galway,Euro Million,2455.59,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Kerry,Euro Million,1228.72,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Kildare,Euro Million,2704.03,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Kilkenny/Carlow,Euro Million,837.62,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Laois/Offaly,Euro Million,741.9,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Sligo/Leitrim,Euro Million,274.39,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Limerick,Euro Million,2066.25,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Roscommon/Longford,Euro Million,353.85,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Louth,Euro Million,1348.28,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Mayo,Euro Million,1055.63,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Meath,Euro Million,2169.57,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Cavan/Monaghan,Euro Million,491.07,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Laois/Offaly,Euro Million,717.24,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Roscommon/Longford,Euro Million,524.49,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Sligo/Leitrim,Euro Million,602.96,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Tipperary,Euro Million,1502.01,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Waterford,Euro Million,1187.1,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Westmeath,Euro Million,945.32,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Wexford,Euro Million,1278.44,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2002,Wicklow,Euro Million,1735.86,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Kilkenny/Carlow,Euro Million,588.51,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Cavan/Monaghan,Euro Million,638.23,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Clare,Euro Million,1233.87,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Cork,Euro Million,6123.61,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Donegal,Euro Million,1178.97,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Dublin,Euro Million,18355.44,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Galway,Euro Million,2684.98,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Kerry,Euro Million,1339.19,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Kildare,Euro Million,2934.37,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Kilkenny/Carlow,Euro Million,913.16,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Laois/Offaly,Euro Million,808.5,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Sligo/Leitrim,Euro Million,297.33,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Limerick,Euro Million,2246.87,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Roscommon/Longford,Euro Million,384.69,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Louth,Euro Million,1465.2,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Mayo,Euro Million,1151.01,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Meath,Euro Million,2355.05,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Cavan/Monaghan,Euro Million,527.93,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Laois/Offaly,Euro Million,780.53,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Roscommon/Longford,Euro Million,569.69,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Sligo/Leitrim,Euro Million,655.77,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Tipperary,Euro Million,1643.12,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Waterford,Euro Million,1288.29,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Westmeath,Euro Million,1027.26,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Wexford,Euro Million,1384.28,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2003,Wicklow,Euro Million,1880.28,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Kilkenny/Carlow,Euro Million,637.03,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Cavan/Monaghan,Euro Million,692.79,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Clare,Euro Million,1340.41,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Cork,Euro Million,6653.0,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Donegal,Euro Million,1279.1,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Dublin,Euro Million,19932.66,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Galway,Euro Million,2905.13,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Kerry,Euro Million,1464.41,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Kildare,Euro Million,3199.1,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Kilkenny/Carlow,Euro Million,998.74,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Laois/Offaly,Euro Million,880.54,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Sligo/Leitrim,Euro Million,321.47,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Limerick,Euro Million,2404.11,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Roscommon/Longford,Euro Million,418.53,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Louth,Euro Million,1573.68,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Mayo,Euro Million,1272.38,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Meath,Euro Million,2563.77,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Cavan/Monaghan,Euro Million,565.77,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Laois/Offaly,Euro Million,840.54,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Roscommon/Longford,Euro Million,618.31,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Sligo/Leitrim,Euro Million,708.15,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Tipperary,Euro Million,1787.4,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Waterford,Euro Million,1388.07,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Westmeath,Euro Million,1109.51,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Wexford,Euro Million,1521.91,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2004,Wicklow,Euro Million,2039.26,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Kilkenny/Carlow,Euro Million,715.61,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Cavan/Monaghan,Euro Million,746.92,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Clare,Euro Million,1487.55,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Cork,Euro Million,7336.64,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Donegal,Euro Million,1414.24,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Dublin,Euro Million,22047.07,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Galway,Euro Million,3232.42,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Kerry,Euro Million,1642.8,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Kildare,Euro Million,3562.18,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Kilkenny/Carlow,Euro Million,1114.42,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Laois/Offaly,Euro Million,974.28,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Sligo/Leitrim,Euro Million,361.95,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Limerick,Euro Million,2723.27,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Roscommon/Longford,Euro Million,474.24,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Louth,Euro Million,1764.14,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Mayo,Euro Million,1399.65,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Meath,Euro Million,2859.05,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Cavan/Monaghan,Euro Million,615.23,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Laois/Offaly,Euro Million,953.31,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Roscommon/Longford,Euro Million,725.04,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Sligo/Leitrim,Euro Million,798.7,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Tipperary,Euro Million,1934.31,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Waterford,Euro Million,1567.88,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Westmeath,Euro Million,1250.21,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Wexford,Euro Million,1698.18,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2005,Wicklow,Euro Million,2297.65,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Kilkenny/Carlow,Euro Million,795.7,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Cavan/Monaghan,Euro Million,866.4,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Clare,Euro Million,1624.54,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Cork,Euro Million,8067.52,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Donegal,Euro Million,1681.07,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Dublin,Euro Million,24363.36,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Galway,Euro Million,3405.6,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Kerry,Euro Million,1832.22,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Kildare,Euro Million,3889.78,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Kilkenny/Carlow,Euro Million,1231.77,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Laois/Offaly,Euro Million,1084.9,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Sligo/Leitrim,Euro Million,432.78,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Limerick,Euro Million,2974.29,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Roscommon/Longford,Euro Million,500.95,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Louth,Euro Million,1916.63,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Mayo,Euro Million,1444.92,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Meath,Euro Million,3105.98,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Cavan/Monaghan,Euro Million,717.62,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Laois/Offaly,Euro Million,1039.6,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Roscommon/Longford,Euro Million,732.87,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Sligo/Leitrim,Euro Million,938.81,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Tipperary,Euro Million,2137.7,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Waterford,Euro Million,1693.09,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Westmeath,Euro Million,1366.45,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Wexford,Euro Million,1878.37,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2006,Wicklow,Euro Million,2519.2,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2007,Kilkenny/Carlow,Euro Million,851.07,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2007,Cavan/Monaghan,Euro Million,914.2,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2007,Clare,Euro Million,1765.98,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2007,Cork,Euro Million,8902.18,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2007,Donegal,Euro Million,1706.84,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2007,Dublin,Euro Million,26897.35,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2007,Galway,Euro Million,3942.21,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2007,Kerry,Euro Million,1950.66,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2007,Kildare,Euro Million,4172.03,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2007,Kilkenny/Carlow,Euro Million,1333.02,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2007,Laois/Offaly,Euro Million,1172.37,Eastern & Midland
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2007,Sligo/Leitrim,Euro Million,423.91,Northern & Western
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2007,Limerick,Euro Million,3241.35,Southern
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)",2007,Roscommon/Longford,Euro Million,546.03,Northern & Western
